STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,sex,Sex,nace_r2,Statistical classification of economic activities in the European Community (NACE Rev. 2),unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:HTEC_EMP_NAT2(1.0),"Employment in technology and knowledge-intensive sectors at the national level, by sex (from 2008 onwards, NACE Rev. 2)",A,Annual,T,Total,HTC,High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services),PC_EMP,Percentage of total employment,EA20,Euro area – 20 countries (from 2023),2011,,3.9,,,,,
dataflow,ESTAT:HTEC_EMP_NAT2(1.0),"Employment in technology and knowledge-intensive sectors at the national level, by sex (from 2008 onwards, NACE Rev. 2)",A,Annual,T,Total,HTC,High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services),PC_EMP,Percentage of total employment,EA20,Euro area – 20 countries (from 2023),2012,,3.9,,,,,
dataflow,ESTAT:HTEC_EMP_NAT2(1.0),"Employment in technology and knowledge-intensive sectors at the national level, by sex (from 2008 onwards, NACE Rev. 2)",A,Annual,T,Total,HTC,High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services),PC_EMP,Percentage of total employment,EA20,Euro area – 20 countries (from 2023),2013,,3.9,,,,,
dataflow,ESTAT:HTEC_EMP_NAT2(1.0),"Employment in technology and knowledge-intensive sectors at the national level, by sex (from 2008 onwards, NACE Rev. 2)",A,Annual,T,Total,HTC,High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services),PC_EMP,Percentage of total employment,EA20,Euro area – 20 countries (from 2023),2014,,3.9,,,,,
dataflow,ESTAT:HTEC_EMP_NAT2(1.0),"Employment in technology and knowledge-intensive sectors at the national level, by sex (from 2008 onwards, NACE Rev. 2)",A,Annual,T,Total,HTC,High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services),PC_EMP,Percentage of total employment,EA20,Euro area – 20 countries (from 2023),2015,,3.9,,,,,
dataflow,ESTAT:HTEC_EMP_NAT2(1.0),"Employment in technology and knowledge-intensive sectors at the national level, by sex (from 2008 onwards, NACE Rev. 2)",A,Annual,T,Total,HTC,High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services),PC_EMP,Percentage of total employment,EA20,Euro area – 20 countries (from 2023),2016,,3.9,,,,,
dataflow,ESTAT:HTEC_EMP_NAT2(1.0),"Employment in technology and knowledge-intensive sectors at the national level, by sex (from 2008 onwards, NACE Rev. 2)",A,Annual,T,Total,HTC,High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services),PC_EMP,Percentage of total employment,EA20,Euro area – 20 countries (from 2023),2017,,3.9,,,,,
dataflow,ESTAT:HTEC_EMP_NAT2(1.0),"Employment in technology and knowledge-intensive sectors at the national level, by sex (from 2008 onwards, NACE Rev. 2)",A,Annual,T,Total,HTC,High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services),PC_EMP,Percentage of total employment,EA20,Euro area – 20 countries (from 2023),2018,,4.0,,,,,
dataflow,ESTAT:HTEC_EMP_NAT2(1.0),"Employment in technology and knowledge-intensive sectors at the national level, by sex (from 2008 onwards, NACE Rev. 2)",A,Annual,T,Total,HTC,High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services),PC_EMP,Percentage of total employment,EA20,Euro area – 20 countries (from 2023),2019,,4.1,,,,,
dataflow,ESTAT:HTEC_EMP_NAT2(1.0),"Employment in technology and knowledge-intensive sectors at the national level, by sex (from 2008 onwards, NACE Rev. 2)",A,Annual,T,Total,HTC,High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services),PC_EMP,Percentage of total employment,EA20,Euro area – 20 countries (from 2023),2020,,4.6,,,,,
dataflow,ESTAT:HTEC_EMP_NAT2(1.0),"Employment in technology and knowledge-intensive sectors at the national level, by sex (from 2008 onwards, NACE Rev. 2)",A,Annual,T,Total,HTC,High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services),PC_EMP,Percentage of total employment,EA20,Euro area – 20 countries (from 2023),2021,,4.8,,b,break in time series,,
dataflow,ESTAT:HTEC_EMP_NAT2(1.0),"Employment in technology and knowledge-intensive sectors at the national level, by sex (from 2008 onwards, NACE Rev. 2)",A,Annual,T,Total,HTC,High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services),PC_EMP,Percentage of total employment,EA20,Euro area – 20 countries (from 2023),2022,,4.9,,,,,
dataflow,ESTAT:HTEC_EMP_NAT2(1.0),"Employment in technology and knowledge-intensive sectors at the national level, by sex (from 2008 onwards, NACE Rev. 2)",A,Annual,T,Total,HTC,High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services),PC_EMP,Percentage of total employment,EA20,Euro area – 20 countries (from 2023),2023,,5.1,,,,,
dataflow,ESTAT:HTEC_EMP_NAT2(1.0),"Employment in technology and knowledge-intensive sectors at the national level, by sex (from 2008 onwards, NACE Rev. 2)",A,Annual,T,Total,HTC,High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services),PC_EMP,Percentage of total employment,EA20,Euro area – 20 countries (from 2023),2024,,5.2,,,,,
dataflow,ESTAT:HTEC_EMP_NAT2(1.0),"Employment in technology and knowledge-intensive sectors at the national level, by sex (from 2008 onwards, NACE Rev. 2)",A,Annual,T,Total,HTC,High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services),PC_EMP,Percentage of total employment,EE,Estonia,2008,,3.2,,b,break in time series,,
dataflow,ESTAT:HTEC_EMP_NAT2(1.0),"Employment in technology and knowledge-intensive sectors at the national level, by sex (from 2008 onwards, NACE Rev. 2)",A,Annual,T,Total,HTC,High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services),PC_EMP,Percentage of total employment,EE,Estonia,2009,,3.5,,,,,
dataflow,ESTAT:HTEC_EMP_NAT2(1.0),"Employment in technology and knowledge-intensive sectors at the national level, by sex (from 2008 onwards, NACE Rev. 2)",A,Annual,T,Total,HTC,High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services),PC_EMP,Percentage of total employment,EE,Estonia,2010,,3.4,,,,,
dataflow,ESTAT:HTEC_EMP_NAT2(1.0),"Employment in technology and knowledge-intensive sectors at the national level, by sex (from 2008 onwards, NACE Rev. 2)",A,Annual,T,Total,HTC,High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services),PC_EMP,Percentage of total employment,EE,Estonia,2011,,4.1,,,,,
dataflow,ESTAT:HTEC_EMP_NAT2(1.0),"Employment in technology and knowledge-intensive sectors at the national level, by sex (from 2008 onwards, NACE Rev. 2)",A,Annual,T,Total,HTC,High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services),PC_EMP,Percentage of total employment,EE,Estonia,2012,,3.7,,,,,
dataflow,ESTAT:HTEC_EMP_NAT2(1.0),"Employment in technology and knowledge-intensive sectors at the national level, by sex (from 2008 onwards, NACE Rev. 2)",A,Annual,T,Total,HTC,High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services),PC_EMP,Percentage of total employment,EE,Estonia,2013,,4.1,,,,,
dataflow,ESTAT:HTEC_EMP_NAT2(1.0),"Employment in technology and knowledge-intensive sectors at the national level, by sex (from 2008 onwards, NACE Rev. 2)",A,Annual,T,Total,HTC,High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services),PC_EMP,Percentage of total employment,EE,Estonia,2014,,4.5,,,,,
dataflow,ESTAT:HTEC_EMP_NAT2(1.0),"Employment in technology and knowledge-intensive sectors at the national level, by sex (from 2008 onwards, NACE Rev. 2)",A,Annual,T,Total,HTC,High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services),PC_EMP,Percentage of total employment,EE,Estonia,2015,,4.8,,,,,
dataflow,ESTAT:HTEC_EMP_NAT2(1.0),"Employment in technology and knowledge-intensive sectors at the national level, by sex (from 2008 onwards, NACE Rev. 2)",A,Annual,T,Total,HTC,High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services),PC_EMP,Percentage of total employment,EE,Estonia,2016,,5.3,,,,,
dataflow,ESTAT:HTEC_EMP_NAT2(1.0),"Employment in technology and knowledge-intensive sectors at the national level, by sex (from 2008 onwards, NACE Rev. 2)",A,Annual,T,Total,HTC,High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services),PC_EMP,Percentage of total employment,EE,Estonia,2017,,5.2,,,,,
dataflow,ESTAT:HTEC_EMP_NAT2(1.0),"Employment in technology and knowledge-intensive sectors at the national level, by sex (from 2008 onwards, NACE Rev. 2)",A,Annual,T,Total,HTC,High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services),PC_EMP,Percentage of total employment,EE,Estonia,2018,,5.3,,,,,
dataflow,ESTAT:HTEC_EMP_NAT2(1.0),"Employment in technology and knowledge-intensive sectors at the national level, by sex (from 2008 onwards, NACE Rev. 2)",A,Annual,T,Total,HTC,High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services),PC_EMP,Percentage of total employment,EE,Estonia,2019,,5.6,,,,,
dataflow,ESTAT:HTEC_EMP_NAT2(1.0),"Employment in technology and knowledge-intensive sectors at the national level, by sex (from 2008 onwards, NACE Rev. 2)",A,Annual,T,Total,HTC,High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services),PC_EMP,Percentage of total employment,EE,Estonia,2020,,5.6,,,,,
dataflow,ESTAT:HTEC_EMP_NAT2(1.0),"Employment in technology and knowledge-intensive sectors at the national level, by sex (from 2008 onwards, NACE Rev. 2)",A,Annual,T,Total,HTC,High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services),PC_EMP,Percentage of total employment,EE,Estonia,2021,,6.5,,b,break in time series,,
dataflow,ESTAT:HTEC_EMP_NAT2(1.0),"Employment in technology and knowledge-intensive sectors at the national level, by sex (from 2008 onwards, NACE Rev. 2)",A,Annual,T,Total,HTC,High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services),PC_EMP,Percentage of total employment,EE,Estonia,2022,,6.8,,,,,
dataflow,ESTAT:HTEC_EMP_NAT2(1.0),"Employment in technology and knowledge-intensive sectors at the national level, by sex (from 2008 onwards, NACE Rev. 2)",A,Annual,T,Total,HTC,High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services),PC_EMP,Percentage of total employment,EE,Estonia,2023,,6.5,,,,,
dataflow,ESTAT:HTEC_EMP_NAT2(1.0),"Employment in technology and knowledge-intensive sectors at the national level, by sex (from 2008 onwards, NACE Rev. 2)",A,Annual,T,Total,HTC,High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services),PC_EMP,Percentage of total employment,EE,Estonia,2024,,6.6,,,,,
dataflow,ESTAT:HTEC_EMP_NAT2(1.0),"Employment in technology and knowledge-intensive sectors at the national level, by sex (from 2008 onwards, NACE Rev. 2)",A,Annual,T,Total,HTC,High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services),PC_EMP,Percentage of total employment,EL,Greece,2008,,2.2,,b,break in time series,,
dataflow,ESTAT:HTEC_EMP_NAT2(1.0),"Employment in technology and knowledge-intensive sectors at the national level, by sex (from 2008 onwards, NACE Rev. 2)",A,Annual,T,Total,HTC,High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services),PC_EMP,Percentage of total employment,EL,Greece,2009,,2.2,,b,break in time series,,
dataflow,ESTAT:HTEC_EMP_NAT2(1.0),"Employment in technology and knowledge-intensive sectors at the national level, by sex (from 2008 onwards, NACE Rev. 2)",A,Annual,T,Total,HTC,High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services),PC_EMP,Percentage of total employment,EL,Greece,2010,,2.3,,,,,
dataflow,ESTAT:HTEC_EMP_NAT2(1.0),"Employment in technology and knowledge-intensive sectors at the national level, by sex (from 2008 onwards, NACE Rev. 2)",A,Annual,T,Total,HTC,High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services),PC_EMP,Percentage of total employment,EL,Greece,2011,,2.1,,,,,
dataflow,ESTAT:HTEC_EMP_NAT2(1.0),"Employment in technology and knowledge-intensive sectors at the national level, by sex (from 2008 onwards, NACE Rev. 2)",A,Annual,T,Total,HTC,High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services),PC_EMP,Percentage of total employment,EL,Greece,2012,,2.2,,,,,
dataflow,ESTAT:HTEC_EMP_NAT2(1.0),"Employment in technology and knowledge-intensive sectors at the national level, by sex (from 2008 onwards, NACE Rev. 2)",A,Annual,T,Total,HTC,High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services),PC_EMP,Percentage of total employment,EL,Greece,2013,,2.4,,,,,
dataflow,ESTAT:HTEC_EMP_NAT2(1.0),"Employment in technology and knowledge-intensive sectors at the national level, by sex (from 2008 onwards, NACE Rev. 2)",A,Annual,T,Total,HTC,High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services),PC_EMP,Percentage of total employment,EL,Greece,2014,,2.5,,,,,
dataflow,ESTAT:HTEC_EMP_NAT2(1.0),"Employment in technology and knowledge-intensive sectors at the national level, by sex (from 2008 onwards, NACE Rev. 2)",A,Annual,T,Total,HTC,High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services),PC_EMP,Percentage of total employment,EL,Greece,2015,,2.4,,,,,
dataflow,ESTAT:HTEC_EMP_NAT2(1.0),"Employment in technology and knowledge-intensive sectors at the national level, by sex (from 2008 onwards, NACE Rev. 2)",A,Annual,T,Total,HTC,High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services),PC_EMP,Percentage of total employment,EL,Greece,2016,,2.5,,,,,
dataflow,ESTAT:HTEC_EMP_NAT2(1.0),"Employment in technology and knowledge-intensive sectors at the national level, by sex (from 2008 onwards, NACE Rev. 2)",A,Annual,T,Total,HTC,High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services),PC_EMP,Percentage of total employment,EL,Greece,2017,,2.5,,,,,
dataflow,ESTAT:HTEC_EMP_NAT2(1.0),"Employment in technology and knowledge-intensive sectors at the national level, by sex (from 2008 onwards, NACE Rev. 2)",A,Annual,T,Total,HTC,High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services),PC_EMP,Percentage of total employment,EL,Greece,2018,,2.8,,,,,
dataflow,ESTAT:HTEC_EMP_NAT2(1.0),"Employment in technology and knowledge-intensive sectors at the national level, by sex (from 2008 onwards, NACE Rev. 2)",A,Annual,T,Total,HTC,High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services),PC_EMP,Percentage of total employment,EL,Greece,2019,,3.0,,,,,
dataflow,ESTAT:HTEC_EMP_NAT2(1.0),"Employment in technology and knowledge-intensive sectors at the national level, by sex (from 2008 onwards, NACE Rev. 2)",A,Annual,T,Total,HTC,High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services),PC_EMP,Percentage of total employment,EL,Greece,2020,,3.1,,,,,
dataflow,ESTAT:HTEC_EMP_NAT2(1.0),"Employment in technology and knowledge-intensive sectors at the national level, by sex (from 2008 onwards, NACE Rev. 2)",A,Annual,T,Total,HTC,High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services),PC_EMP,Percentage of total employment,EL,Greece,2021,,3.2,,b,break in time series,,
dataflow,ESTAT:HTEC_EMP_NAT2(1.0),"Employment in technology and knowledge-intensive sectors at the national level, by sex (from 2008 onwards, NACE Rev. 2)",A,Annual,T,Total,HTC,High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services),PC_EMP,Percentage of total employment,EL,Greece,2022,,3.4,,,,,
dataflow,ESTAT:HTEC_EMP_NAT2(1.0),"Employment in technology and knowledge-intensive sectors at the national level, by sex (from 2008 onwards, NACE Rev. 2)",A,Annual,T,Total,HTC,High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services),PC_EMP,Percentage of total employment,EL,Greece,2023,,3.4,,,,,
dataflow,ESTAT:HTEC_EMP_NAT2(1.0),"Employment in technology and knowledge-intensive sectors at the national level, by sex (from 2008 onwards, NACE Rev. 2)",A,Annual,T,Total,HTC,High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services),PC_EMP,Percentage of total employment,EL,Greece,2024,,3.2,,,,,
dataflow,ESTAT:HTEC_EMP_NAT2(1.0),"Employment in technology and knowledge-intensive sectors at the national level, by sex (from 2008 onwards, NACE Rev. 2)",A,Annual,T,Total,HTC,High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services),PC_EMP,Percentage of total employment,ES,Spain,2008,,3.3,,b,break in time series,,
dataflow,ESTAT:HTEC_EMP_NAT2(1.0),"Employment in technology and knowledge-intensive sectors at the national level, by sex (from 2008 onwards, NACE Rev. 2)",A,Annual,T,Total,HTC,High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services),PC_EMP,Percentage of total employment,ES,Spain,2009,,3.3,,,,,
dataflow,ESTAT:HTEC_EMP_NAT2(1.0),"Employment in technology and knowledge-intensive sectors at the national level, by sex (from 2008 onwards, NACE Rev. 2)",A,Annual,T,Total,HTC,High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services),PC_EMP,Percentage of total employment,ES,Spain,2010,,3.4,,,,,
dataflow,ESTAT:HTEC_EMP_NAT2(1.0),"Employment in technology and knowledge-intensive sectors at the national level, by sex (from 2008 onwards, NACE Rev. 2)",A,Annual,T,Total,HTC,High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services),PC_EMP,Percentage of total employment,ES,Spain,2011,,3.6,,,,,
dataflow,ESTAT:HTEC_EMP_NAT2(1.0),"Employment in technology and knowledge-intensive sectors at the national level, by sex (from 2008 onwards, NACE Rev. 2)",A,Annual,T,Total,HTC,High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services),PC_EMP,Percentage of total employment,ES,Spain,2012,,3.7,,,,,
dataflow,ESTAT:HTEC_EMP_NAT2(1.0),"Employment in technology and knowledge-intensive sectors at the national level, by sex (from 2008 onwards, NACE Rev. 2)",A,Annual,T,Total,HTC,High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services),PC_EMP,Percentage of total employment,ES,Spain,2013,,3.7,,,,,
dataflow,ESTAT:HTEC_EMP_NAT2(1.0),"Employment in technology and knowledge-intensive sectors at the national level, by sex (from 2008 onwards, NACE Rev. 2)",A,Annual,T,Total,HTC,High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services),PC_EMP,Percentage of total employment,ES,Spain,2014,,3.6,,,,,
dataflow,ESTAT:HTEC_EMP_NAT2(1.0),"Employment in technology and knowledge-intensive sectors at the national level, by sex (from 2008 onwards, NACE Rev. 2)",A,Annual,T,Total,HTC,High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services),PC_EMP,Percentage of total employment,ES,Spain,2015,,3.7,,,,,
dataflow,ESTAT:HTEC_EMP_NAT2(1.0),"Employment in technology and knowledge-intensive sectors at the national level, by sex (from 2008 onwards, NACE Rev. 2)",A,Annual,T,Total,HTC,High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services),PC_EMP,Percentage of total employment,ES,Spain,2016,,3.6,,,,,
dataflow,ESTAT:HTEC_EMP_NAT2(1.0),"Employment in technology and knowledge-intensive sectors at the national level, by sex (from 2008 onwards, NACE Rev. 2)",A,Annual,T,Total,HTC,High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services),PC_EMP,Percentage of total employment,ES,Spain,2017,,3.8,,,,,
dataflow,ESTAT:HTEC_EMP_NAT2(1.0),"Employment in technology and knowledge-intensive sectors at the national level, by sex (from 2008 onwards, NACE Rev. 2)",A,Annual,T,Total,HTC,High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services),PC_EMP,Percentage of total employment,ES,Spain,2018,,3.6,,,,,
dataflow,ESTAT:HTEC_EMP_NAT2(1.0),"Employment in technology and knowledge-intensive sectors at the national level, by sex (from 2008 onwards, NACE Rev. 2)",A,Annual,T,Total,HTC,High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services),PC_EMP,Percentage of total employment,ES,Spain,2019,,3.7,,,,,
dataflow,ESTAT:HTEC_EMP_NAT2(1.0),"Employment in technology and knowledge-intensive sectors at the national level, by sex (from 2008 onwards, NACE Rev. 2)",A,Annual,T,Total,HTC,High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services),PC_EMP,Percentage of total employment,ES,Spain,2020,,3.9,,,,,
dataflow,ESTAT:HTEC_EMP_NAT2(1.0),"Employment in technology and knowledge-intensive sectors at the national level, by sex (from 2008 onwards, NACE Rev. 2)",A,Annual,T,Total,HTC,High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services),PC_EMP,Percentage of total employment,ES,Spain,2021,,4.1,,bd,"break in time series, definition differs (see metadata)",,
dataflow,ESTAT:HTEC_EMP_NAT2(1.0),"Employment in technology and knowledge-intensive sectors at the national level, by sex (from 2008 onwards, NACE Rev. 2)",A,Annual,T,Total,HTC,High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services),PC_EMP,Percentage of total employment,ES,Spain,2022,,4.4,,d,definition differs (see metadata),,
dataflow,ESTAT:HTEC_EMP_NAT2(1.0),"Employment in technology and knowledge-intensive sectors at the national level, by sex (from 2008 onwards, NACE Rev. 2)",A,Annual,T,Total,HTC,High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services),PC_EMP,Percentage of total employment,ES,Spain,2023,,4.4,,d,definition differs (see metadata),,
dataflow,ESTAT:HTEC_EMP_NAT2(1.0),"Employment in technology and knowledge-intensive sectors at the national level, by sex (from 2008 onwards, NACE Rev. 2)",A,Annual,T,Total,HTC,High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services),PC_EMP,Percentage of total employment,ES,Spain,2024,,4.7,,d,definition differs (see metadata),,
dataflow,ESTAT:HTEC_EMP_NAT2(1.0),"Employment in technology and knowledge-intensive sectors at the national level, by sex (from 2008 onwards, NACE Rev. 2)",A,Annual,T,Total,HTC,High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services),PC_EMP,Percentage of total employment,EU27_2020,European Union - 27 countries (from 2020),2008,,3.6,,b,break in time series,,
dataflow,ESTAT:HTEC_EMP_NAT2(1.0),"Employment in technology and knowledge-intensive sectors at the national level, by sex (from 2008 onwards, NACE Rev. 2)",A,Annual,T,Total,HTC,High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services),PC_EMP,Percentage of total employment,EU27_2020,European Union - 27 countries (from 2020),2009,,3.7,,,,,
dataflow,ESTAT:HTEC_EMP_NAT2(1.0),"Employment in technology and knowledge-intensive sectors at the national level, by sex (from 2008 onwards, NACE Rev. 2)",A,Annual,T,Total,HTC,High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services),PC_EMP,Percentage of total employment,EU27_2020,European Union - 27 countries (from 2020),2010,,3.7,,,,,
dataflow,ESTAT:HTEC_EMP_NAT2(1.0),"Employment in technology and knowledge-intensive sectors at the national level, by sex (from 2008 onwards, NACE Rev. 2)",A,Annual,T,Total,HTC,High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services),PC_EMP,Percentage of total employment,EU27_2020,European Union - 27 countries (from 2020),2011,,3.8,,,,,
dataflow,ESTAT:HTEC_EMP_NAT2(1.0),"Employment in technology and knowledge-intensive sectors at the national level, by sex (from 2008 onwards, NACE Rev. 2)",A,Annual,T,Total,HTC,High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services),PC_EMP,Percentage of total employment,EU27_2020,European Union - 27 countries (from 2020),2012,,3.8,,,,,
dataflow,ESTAT:HTEC_EMP_NAT2(1.0),"Employment in technology and knowledge-intensive sectors at the national level, by sex (from 2008 onwards, NACE Rev. 2)",A,Annual,T,Total,HTC,High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services),PC_EMP,Percentage of total employment,EU27_2020,European Union - 27 countries (from 2020),2013,,3.8,,,,,
dataflow,ESTAT:HTEC_EMP_NAT2(1.0),"Employment in technology and knowledge-intensive sectors at the national level, by sex (from 2008 onwards, NACE Rev. 2)",A,Annual,T,Total,HTC,High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services),PC_EMP,Percentage of total employment,EU27_2020,European Union - 27 countries (from 2020),2014,,3.8,,,,,
dataflow,ESTAT:HTEC_EMP_NAT2(1.0),"Employment in technology and knowledge-intensive sectors at the national level, by sex (from 2008 onwards, NACE Rev. 2)",A,Annual,T,Total,HTC,High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services),PC_EMP,Percentage of total employment,EU27_2020,European Union - 27 countries (from 2020),2015,,3.8,,,,,
dataflow,ESTAT:HTEC_EMP_NAT2(1.0),"Employment in technology and knowledge-intensive sectors at the national level, by sex (from 2008 onwards, NACE Rev. 2)",A,Annual,T,Total,HTC,High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services),PC_EMP,Percentage of total employment,EU27_2020,European Union - 27 countries (from 2020),2016,,3.9,,,,,
dataflow,ESTAT:HTEC_EMP_NAT2(1.0),"Employment in technology and knowledge-intensive sectors at the national level, by sex (from 2008 onwards, NACE Rev. 2)",A,Annual,T,Total,HTC,High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services),PC_EMP,Percentage of total employment,EU27_2020,European Union - 27 countries (from 2020),2017,,3.9,,,,,
dataflow,ESTAT:HTEC_EMP_NAT2(1.0),"Employment in technology and knowledge-intensive sectors at the national level, by sex (from 2008 onwards, NACE Rev. 2)",A,Annual,T,Total,HTC,High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services),PC_EMP,Percentage of total employment,EU27_2020,European Union - 27 countries (from 2020),2018,,4.0,,,,,
dataflow,ESTAT:HTEC_EMP_NAT2(1.0),"Employment in technology and knowledge-intensive sectors at the national level, by sex (from 2008 onwards, NACE Rev. 2)",A,Annual,T,Total,HTC,High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services),PC_EMP,Percentage of total employment,EU27_2020,European Union - 27 countries (from 2020),2019,,4.1,,,,,
dataflow,ESTAT:HTEC_EMP_NAT2(1.0),"Employment in technology and knowledge-intensive sectors at the national level, by sex (from 2008 onwards, NACE Rev. 2)",A,Annual,T,Total,HTC,High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services),PC_EMP,Percentage of total employment,EU27_2020,European Union - 27 countries (from 2020),2020,,4.5,,,,,
dataflow,ESTAT:HTEC_EMP_NAT2(1.0),"Employment in technology and knowledge-intensive sectors at the national level, by sex (from 2008 onwards, NACE Rev. 2)",A,Annual,T,Total,HTC,High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services),PC_EMP,Percentage of total employment,EU27_2020,European Union - 27 countries (from 2020),2021,,4.8,,b,break in time series,,
dataflow,ESTAT:HTEC_EMP_NAT2(1.0),"Employment in technology and knowledge-intensive sectors at the national level, by sex (from 2008 onwards, NACE Rev. 2)",A,Annual,T,Total,HTC,High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services),PC_EMP,Percentage of total employment,EU27_2020,European Union - 27 countries (from 2020),2022,,4.9,,,,,
dataflow,ESTAT:HTEC_EMP_NAT2(1.0),"Employment in technology and knowledge-intensive sectors at the national level, by sex (from 2008 onwards, NACE Rev. 2)",A,Annual,T,Total,HTC,High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services),PC_EMP,Percentage of total employment,EU27_2020,European Union - 27 countries (from 2020),2023,,5.0,,,,,
dataflow,ESTAT:HTEC_EMP_NAT2(1.0),"Employment in technology and knowledge-intensive sectors at the national level, by sex (from 2008 onwards, NACE Rev. 2)",A,Annual,T,Total,HTC,High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services),PC_EMP,Percentage of total employment,EU27_2020,European Union - 27 countries (from 2020),2024,,5.2,,,,,
